Frame,FPS,RGB_Capture_s,Depth_Capture_s,Fusion_s,Memory_MB,CPU_%
0,9.76,0.0004,0.0000,0.1338,1020.17,96.07
1,4.28,0.0004,0.0000,0.0035,1084.17,35.29
2,9.63,0.0003,0.0000,0.0049,1084.41,33.06
3,9.40,0.0006,0.0000,0.0047,1084.41,30.30
4,9.54,0.0003,0.0000,0.0040,1084.41,29.92
5,9.56,0.0003,0.0000,0.0039,1084.41,27.38
6,9.57,0.0003,0.0000,0.0040,1084.41,28.84
7,9.50,0.0003,0.0000,0.0047,1084.41,28.70
8,9.49,0.0003,0.0000,0.0046,1084.41,25.76
9,9.50,0.0003,0.0000,0.0046,1084.41,26.06
10,9.51,0.0003,0.0000,0.0046,1084.41,28.09
11,9.50,0.0003,0.0000,0.0047,1084.41,29.14
12,9.55,0.0003,0.0000,0.0039,1084.41,28.79
13,9.56,0.0003,0.0000,0.0040,1084.41,29.49
14,9.57,0.0003,0.0000,0.0039,1084.41,25.84
15,9.57,0.0003,0.0000,0.0039,1084.41,25.14
16,9.58,0.0003,0.0000,0.0038,1084.41,25.02
17,9.57,0.0003,0.0000,0.0039,1084.41,27.10
18,9.57,0.0003,0.0000,0.0039,1084.41,26.19
19,9.57,0.0003,0.0000,0.0039,1084.41,28.34
20,9.57,0.0003,0.0000,0.0039,1084.41,30.10
21,9.57,0.0003,0.0000,0.0039,1084.41,23.71
22,9.57,0.0003,0.0000,0.0039,1084.41,23.66
23,9.58,0.0003,0.0000,0.0039,1084.41,24.72
24,9.57,0.0003,0.0000,0.0039,1084.41,24.33
25,9.57,0.0003,0.0000,0.0039,1084.41,29.59
26,9.54,0.0003,0.0000,0.0043,1084.41,32.28
27,9.53,0.0003,0.0000,0.0044,1084.41,33.21
28,9.46,0.0006,0.0000,0.0051,1084.41,28.51
29,9.48,0.0003,0.0000,0.0044,1084.41,27.73
30,9.52,0.0003,0.0000,0.0043,1084.41,26.40
31,9.52,0.0003,0.0000,0.0045,1084.41,29.70
32,9.53,0.0003,0.0000,0.0044,1084.41,31.01
33,9.52,0.0003,0.0000,0.0043,1084.41,31.02
34,9.53,0.0003,0.0000,0.0045,1084.41,30.95
35,9.52,0.0003,0.0000,0.0043,1084.41,25.95
36,9.53,0.0003,0.0000,0.0044,1084.41,26.89
37,9.53,0.0003,0.0000,0.0043,1084.41,26.59
38,9.53,0.0003,0.0000,0.0043,1084.41,30.87
39,9.54,0.0003,0.0000,0.0042,1084.41,32.17
40,9.54,0.0003,0.0000,0.0043,1084.41,30.85
41,9.54,0.0003,0.0000,0.0043,1084.41,29.31
42,9.53,0.0003,0.0000,0.0044,1084.41,26.93
43,9.53,0.0003,0.0000,0.0043,1084.41,27.29
44,9.53,0.0003,0.0000,0.0043,1084.41,27.51
45,9.53,0.0003,0.0000,0.0043,1084.41,31.87
46,9.53,0.0003,0.0000,0.0043,1084.41,33.01
47,9.52,0.0003,0.0000,0.0044,1084.41,33.28
48,9.42,0.0003,0.0000,0.0053,1084.41,28.60
49,9.51,0.0003,0.0000,0.0045,1084.41,28.48
50,9.53,0.0003,0.0000,0.0043,1084.41,26.81
51,9.53,0.0003,0.0000,0.0044,1084.41,31.63
52,9.52,0.0003,0.0000,0.0043,1084.41,31.74
53,9.53,0.0003,0.0000,0.0043,1084.41,32.36
54,9.52,0.0004,0.0000,0.0044,1084.41,30.90
55,9.53,0.0003,0.0000,0.0043,1084.41,27.41
56,9.53,0.0003,0.0000,0.0044,1148.41,26.54
57,9.53,0.0003,0.0000,0.0043,1148.41,28.35
58,9.48,0.0003,0.0000,0.0043,1148.41,33.13
59,9.53,0.0003,0.0000,0.0048,1148.41,30.61
60,9.44,0.0003,0.0000,0.0050,1148.41,34.24
61,9.24,0.0003,0.0000,0.0075,1148.41,29.70
62,9.53,0.0004,0.0000,0.0047,1148.41,27.01
63,9.49,0.0003,0.0000,0.0050,1148.41,28.89
64,9.36,0.0003,0.0000,0.0055,1148.41,30.32
65,9.53,0.0003,0.0000,0.0043,1148.41,32.35
66,9.51,0.0003,0.0000,0.0045,1148.41,30.98
67,9.52,0.0003,0.0000,0.0043,1148.41,26.33
68,9.53,0.0003,0.0000,0.0044,1148.41,27.33
69,9.53,0.0003,0.0000,0.0043,1148.41,28.12
70,9.53,0.0003,0.0000,0.0044,1148.41,32.19
71,9.53,0.0003,0.0000,0.0044,1148.41,31.86
72,9.49,0.0003,0.0000,0.0048,1148.41,32.91
73,9.52,0.0003,0.0000,0.0045,1148.41,26.48
74,9.52,0.0003,0.0000,0.0044,1148.41,26.63
75,9.52,0.0003,0.0000,0.0044,1148.41,26.43
76,9.51,0.0003,0.0000,0.0045,1148.41,31.28
77,9.45,0.0003,0.0000,0.0058,1148.41,33.04
78,9.46,0.0003,0.0000,0.0044,1148.41,31.91
79,9.44,0.0003,0.0000,0.0052,1148.41,29.79
80,9.41,0.0004,0.0000,0.0049,1148.41,27.65
81,9.60,0.0003,0.0000,0.0045,1148.41,26.35
82,9.40,0.0003,0.0000,0.0057,1148.41,33.59
83,9.51,0.0003,0.0000,0.0043,1148.41,32.93
84,9.54,0.0003,0.0000,0.0043,1148.41,31.58
85,9.52,0.0003,0.0000,0.0044,1148.41,29.60
86,9.52,0.0003,0.0000,0.0045,1148.41,28.27
87,9.52,0.0003,0.0000,0.0044,1148.41,28.24
88,9.53,0.0003,0.0000,0.0064,1148.41,31.29
89,9.35,0.0003,0.0000,0.0044,1148.41,32.03
90,9.51,0.0003,0.0000,0.0044,1148.41,32.32
91,9.51,0.0003,0.0000,0.0043,1148.41,30.11
92,9.51,0.0003,0.0000,0.0044,1148.41,26.66
93,9.53,0.0003,0.0000,0.0043,1148.41,26.13
94,9.52,0.0003,0.0000,0.0044,1148.41,28.78
95,9.53,0.0003,0.0000,0.0043,1148.41,33.56
96,9.52,0.0003,0.0000,0.0044,1148.41,30.56
97,9.52,0.0003,0.0000,0.0043,1148.41,32.14
98,9.53,0.0003,0.0000,0.0044,1148.41,26.06
99,9.51,0.0003,0.0000,0.0044,1148.41,26.36
100,9.51,0.0003,0.0000,0.0042,1148.41,27.40
101,9.53,0.0003,0.0000,0.0043,1148.41,29.40
102,9.52,0.0003,0.0000,0.0043,1148.41,30.65
103,9.52,0.0003,0.0000,0.0042,1148.41,31.84
104,9.52,0.0003,0.0000,0.0043,1148.41,32.39
105,9.52,0.0003,0.0000,0.0044,1148.41,27.67
106,9.52,0.0003,0.0000,0.0047,1148.41,27.58
107,9.51,0.0003,0.0000,0.0044,1148.41,28.73
108,9.52,0.0003,0.0000,0.0043,1148.41,32.00
109,9.52,0.0003,0.0000,0.0042,1148.41,33.14
110,9.53,0.0003,0.0000,0.0043,1148.41,30.10
111,9.52,0.0003,0.0000,0.0044,1148.41,29.82
112,9.52,0.0003,0.0000,0.0043,1148.41,27.79
113,9.52,0.0004,0.0000,0.0050,1148.41,28.05
114,9.47,0.0003,0.0000,0.0043,1148.41,31.70
115,9.52,0.0003,0.0000,0.0044,1148.41,31.35
116,9.53,0.0003,0.0000,0.0043,1148.41,31.40
117,9.53,0.0003,0.0000,0.0044,1148.41,31.48
118,9.52,0.0003,0.0000,0.0043,1148.41,26.35
119,9.53,0.0003,0.0000,0.0044,1148.41,26.93
120,9.49,0.0003,0.0000,0.0047,1148.41,26.01
121,9.52,0.0003,0.0000,0.0043,1148.41,30.75
122,9.53,0.0003,0.0000,0.0043,1148.41,32.89
123,9.53,0.0003,0.0000,0.0043,1148.41,30.30
124,9.52,0.0003,0.0000,0.0044,1148.41,28.14
125,9.52,0.0003,0.0000,0.0044,1148.41,27.42
126,9.53,0.0003,0.0000,0.0043,1148.41,26.85
127,9.49,0.0003,0.0000,0.0046,1148.41,29.68
128,9.53,0.0003,0.0000,0.0044,1148.41,29.78
129,9.53,0.0003,0.0000,0.0043,1148.41,31.57
130,9.53,0.0003,0.0000,0.0043,1148.41,32.16
131,9.52,0.0003,0.0000,0.0043,1148.41,27.91
132,9.53,0.0003,0.0000,0.0043,1148.41,27.50
133,9.53,0.0003,0.0000,0.0044,1148.41,26.87
134,9.53,0.0003,0.0000,0.0044,1148.41,31.91
135,9.53,0.0003,0.0000,0.0043,1148.41,30.86
136,9.53,0.0003,0.0000,0.0043,1148.41,32.95
137,9.51,0.0003,0.0000,0.0044,1148.41,30.04
138,9.52,0.0003,0.0000,0.0043,1148.41,27.58
139,9.53,0.0003,0.0000,0.0044,1148.41,28.43
140,9.51,0.0003,0.0000,0.0043,1148.41,27.59
141,9.53,0.0003,0.0000,0.0044,1148.41,32.70
142,9.52,0.0003,0.0000,0.0047,1148.41,33.88
143,9.51,0.0003,0.0000,0.0044,1148.41,32.23
144,9.52,0.0003,0.0000,0.0046,1148.41,30.06
145,9.54,0.0003,0.0000,0.0039,1148.41,24.74
146,9.56,0.0003,0.0000,0.0049,1148.41,23.40
147,9.48,0.0003,0.0000,0.0040,1148.41,26.48
148,9.57,0.0003,0.0000,0.0039,1148.41,28.53
149,9.56,0.0003,0.0000,0.0040,1148.41,28.04
150,9.56,0.0003,0.0000,0.0040,1148.41,29.82
151,9.56,0.0003,0.0000,0.0040,1148.41,23.10
152,9.56,0.0003,0.0000,0.0040,1148.41,25.61
153,9.57,0.0003,0.0000,0.0039,1148.41,21.13
154,9.57,0.0003,0.0000,0.0040,1148.41,24.33
155,9.57,0.0003,0.0000,0.0039,1148.41,28.82
156,9.57,0.0003,0.0000,0.0040,1148.41,28.97
157,9.57,0.0003,0.0000,0.0040,1148.41,30.68
158,9.56,0.0003,0.0000,0.0039,1148.41,23.70
159,9.57,0.0003,0.0000,0.0040,1148.41,21.68
160,9.57,0.0003,0.0000,0.0039,1148.41,21.35
161,9.57,0.0003,0.0000,0.0039,1148.41,22.56
162,9.53,0.0003,0.0000,0.0046,1148.41,27.92
163,9.54,0.0003,0.0000,0.0039,1148.41,30.49
164,9.58,0.0003,0.0000,0.0039,1148.41,27.78
165,9.57,0.0003,0.0000,0.0039,1148.41,27.62
166,9.57,0.0003,0.0000,0.0039,1148.41,22.13
167,9.57,0.0003,0.0000,0.0039,1148.41,21.33
168,9.57,0.0003,0.0000,0.0038,1148.41,22.11
169,9.57,0.0003,0.0000,0.0044,1148.41,26.37
170,9.53,0.0003,0.0000,0.0039,1148.41,29.38
171,9.50,0.0006,0.0000,0.0039,1148.41,34.84
172,9.60,0.0003,0.0000,0.0042,1148.41,30.05
173,9.55,0.0003,0.0000,0.0039,1148.41,26.86
174,9.57,0.0003,0.0000,0.0039,1148.41,21.09
175,9.57,0.0003,0.0000,0.0039,1148.41,21.15
176,9.54,0.0003,0.0000,0.0042,1148.41,25.13
177,9.57,0.0003,0.0000,0.0039,1148.41,28.96
178,9.55,0.0003,0.0000,0.0039,1148.41,30.38
179,9.57,0.0003,0.0000,0.0040,1148.41,29.00
180,9.56,0.0003,0.0000,0.0039,1148.41,23.53
181,9.57,0.0003,0.0000,0.0039,1148.41,20.89
182,9.56,0.0003,0.0000,0.0040,1148.41,21.24
183,9.57,0.0003,0.0000,0.0039,1148.41,24.38
184,9.53,0.0003,0.0000,0.0039,1148.41,28.14
185,9.57,0.0003,0.0000,0.0039,1148.41,29.82
186,9.57,0.0003,0.0000,0.0040,1148.41,29.82
187,9.56,0.0003,0.0000,0.0039,1148.41,24.19
188,9.27,0.0003,0.0000,0.0040,1148.41,21.17
189,9.56,0.0003,0.0000,0.0039,1148.41,22.82
190,9.57,0.0003,0.0000,0.0042,1148.41,26.60
191,9.43,0.0003,0.0000,0.0039,1148.41,32.73
192,9.54,0.0003,0.0000,0.0044,1148.41,32.45
193,9.52,0.0003,0.0000,0.0044,1148.41,27.32
194,9.52,0.0003,0.0000,0.0044,1148.41,26.00
195,9.52,0.0003,0.0000,0.0044,1148.41,24.94
196,9.53,0.0003,0.0000,0.0043,1148.41,29.01
197,9.52,0.0003,0.0000,0.0048,1148.41,31.29
198,9.49,0.0003,0.0000,0.0044,1148.41,35.76
199,9.54,0.0003,0.0000,0.0044,1148.41,38.07
200,9.53,0.0004,0.0000,0.0052,1148.41,38.14
201,9.29,0.0006,0.0000,0.0063,1148.41,39.59
202,9.41,0.0003,0.0000,0.0052,1148.41,39.52
203,9.44,0.0003,0.0000,0.0050,1148.41,41.13
204,9.57,0.0003,0.0000,0.0045,1148.41,34.43
205,9.50,0.0003,0.0000,0.0044,1148.41,31.51
206,9.53,0.0003,0.0000,0.0043,1148.41,25.63
207,9.53,0.0003,0.0000,0.0043,1148.41,31.81
208,9.55,0.0003,0.0000,0.0042,1148.41,30.38
209,9.55,0.0003,0.0000,0.0128,1148.92,40.82
210,8.82,0.0003,0.0000,0.0047,1148.92,31.88
211,9.49,0.0004,0.0000,0.0044,1148.92,31.90
212,9.54,0.0003,0.0000,0.0043,1148.92,30.44
213,9.54,0.0003,0.0000,0.0043,1148.92,31.46
214,9.55,0.0003,0.0000,0.0048,1148.92,33.75
215,9.49,0.0003,0.0000,0.0043,1148.92,36.98
216,9.54,0.0003,0.0000,0.0043,1148.92,36.40
217,9.49,0.0004,0.0000,0.0047,1148.92,27.46
218,9.55,0.0003,0.0000,0.0043,1148.92,33.40
219,9.54,0.0003,0.0000,0.0043,1148.92,31.77
220,9.50,0.0003,0.0000,0.0044,1148.92,28.33
221,9.52,0.0003,0.0000,0.0046,1148.92,31.32
222,9.44,0.0007,0.0000,0.0042,1148.92,40.87
223,9.47,0.0008,0.0000,0.0050,1148.92,46.54
224,9.50,0.0003,0.0000,0.0043,1148.92,37.57
225,9.45,0.0008,0.0000,0.0043,1148.92,40.23
226,9.55,0.0003,0.0000,0.0047,1148.92,37.95
227,9.50,0.0003,0.0000,0.0046,1148.92,42.26
228,9.43,0.0003,0.0000,0.0057,1148.92,35.67
229,9.50,0.0003,0.0000,0.0043,1148.92,35.94
230,9.53,0.0003,0.0000,0.0044,1148.92,24.84
231,9.52,0.0003,0.0000,0.0045,1148.92,27.55
232,9.52,0.0003,0.0000,0.0044,1148.92,25.70
233,9.53,0.0003,0.0000,0.0043,1148.92,33.17
234,9.53,0.0003,0.0000,0.0044,1148.92,34.82
235,9.53,0.0003,0.0000,0.0044,1148.92,27.96
236,9.53,0.0003,0.0000,0.0044,1148.92,30.90
237,9.54,0.0003,0.0000,0.0044,1148.92,26.19
238,9.53,0.0003,0.0000,0.0044,1148.92,25.09
239,9.52,0.0003,0.0000,0.0044,1148.92,29.43
240,9.53,0.0003,0.0000,0.0043,1148.92,30.63
241,9.53,0.0003,0.0000,0.0044,1148.92,32.46
242,9.48,0.0003,0.0000,0.0049,1148.92,34.80
243,9.52,0.0003,0.0000,0.0044,1148.92,26.53
244,9.53,0.0003,0.0000,0.0043,1148.92,26.29
245,9.54,0.0003,0.0000,0.0043,1148.92,27.94
246,9.42,0.0003,0.0000,0.0055,1148.92,31.51
247,9.53,0.0003,0.0000,0.0044,1148.92,34.85
248,9.52,0.0003,0.0000,0.0044,1148.92,33.60
249,9.52,0.0003,0.0000,0.0044,1148.92,30.76
250,9.52,0.0003,0.0000,0.0044,1148.92,25.21
251,9.53,0.0003,0.0000,0.0043,1148.92,25.75
252,9.53,0.0003,0.0000,0.0043,1148.92,27.87
253,9.53,0.0003,0.0000,0.0044,1148.92,31.20
254,9.52,0.0003,0.0000,0.0044,1148.92,31.01
255,9.52,0.0003,0.0000,0.0045,1148.92,35.96
256,9.52,0.0003,0.0000,0.0044,1148.92,26.01
257,9.53,0.0003,0.0000,0.0044,1148.92,24.73
258,9.53,0.0003,0.0000,0.0043,1148.92,25.16
259,9.53,0.0003,0.0000,0.0044,1148.92,29.07
260,9.53,0.0003,0.0000,0.0043,1148.92,33.96
261,9.53,0.0003,0.0000,0.0044,1148.92,33.45
262,9.51,0.0003,0.0000,0.0044,1148.92,31.05
263,9.52,0.0003,0.0000,0.0043,1148.92,24.89
264,9.52,0.0003,0.0000,0.0043,1148.92,24.54
265,9.52,0.0003,0.0000,0.0044,1148.92,25.62
266,9.52,0.0003,0.0000,0.0043,1148.92,31.57
267,9.52,0.0003,0.0000,0.0043,1148.92,30.89
268,9.52,0.0003,0.0000,0.0046,1148.92,33.07
269,9.45,0.0003,0.0000,0.0045,1148.92,26.26
270,9.53,0.0003,0.0000,0.0043,1148.92,24.73
271,9.53,0.0003,0.0000,0.0043,1148.92,24.62
272,9.52,0.0003,0.0000,0.0045,1148.92,28.76
273,9.52,0.0003,0.0000,0.0043,1148.92,32.49
274,9.54,0.0003,0.0000,0.0042,1148.92,33.78
275,9.42,0.0004,0.0000,0.0057,1148.92,29.81
276,9.49,0.0003,0.0000,0.0044,1148.92,24.70
277,9.53,0.0003,0.0000,0.0043,1148.92,24.47
278,9.54,0.0003,0.0000,0.0042,1148.92,26.73
279,9.53,0.0003,0.0000,0.0044,1148.92,30.01
280,9.52,0.0003,0.0000,0.0043,1148.92,30.88
281,9.53,0.0003,0.0000,0.0044,1148.92,34.20
282,9.46,0.0007,0.0000,0.0048,1148.92,26.16
283,9.52,0.0003,0.0000,0.0044,1148.92,24.45
284,9.52,0.0003,0.0000,0.0044,1148.92,24.35
285,9.53,0.0003,0.0000,0.0044,1148.92,28.93
286,9.50,0.0004,0.0000,0.0049,1148.92,35.99
287,9.51,0.0003,0.0000,0.0040,1148.92,28.70
288,9.57,0.0003,0.0000,0.0039,1148.92,26.11
289,9.58,0.0003,0.0000,0.0038,1148.92,20.88
290,9.57,0.0003,0.0000,0.0039,1148.92,20.69
291,9.57,0.0003,0.0000,0.0039,1148.92,20.81
292,9.57,0.0003,0.0000,0.0039,1148.92,25.53
293,9.57,0.0003,0.0000,0.0039,1148.92,28.83
294,9.57,0.0003,0.0000,0.0039,1148.92,29.24
295,9.56,0.0003,0.0000,0.0040,1148.92,28.34
296,9.55,0.0005,0.0000,0.0045,1148.92,22.76
297,9.53,0.0003,0.0000,0.0040,1148.92,20.89
298,9.57,0.0003,0.0000,0.0039,1148.92,20.80
299,9.56,0.0003,0.0000,0.0040,1148.92,24.89
300,9.56,0.0003,0.0000,0.0040,1148.92,28.22
301,9.57,0.0003,0.0000,0.0039,1148.92,29.01
302,9.57,0.0003,0.0000,0.0040,1148.92,29.09
303,9.56,0.0003,0.0000,0.0045,1148.92,23.20
304,9.52,0.0003,0.0000,0.0039,1148.92,20.71
305,9.58,0.0003,0.0000,0.0038,1148.92,20.45
306,9.57,0.0003,0.0000,0.0039,1148.92,23.91
307,9.57,0.0003,0.0000,0.0039,1148.92,27.31
308,9.57,0.0003,0.0000,0.0039,1148.92,28.91
309,9.57,0.0003,0.0000,0.0039,1148.92,28.90
310,9.57,0.0003,0.0000,0.0039,1148.92,22.96
311,9.58,0.0003,0.0000,0.0039,1148.92,20.54
312,9.58,0.0003,0.0000,0.0038,1148.92,20.42
313,9.58,0.0003,0.0000,0.0039,1148.92,21.50
314,9.57,0.0003,0.0000,0.0039,1148.92,26.44
315,9.57,0.0003,0.0000,0.0039,1148.92,29.81
316,9.58,0.0003,0.0000,0.0039,1148.92,26.95
317,9.57,0.0003,0.0000,0.0039,1148.92,27.03
318,9.57,0.0003,0.0000,0.0039,1148.92,21.14
319,9.58,0.0003,0.0000,0.0038,1148.92,20.57
320,9.58,0.0003,0.0000,0.0039,1148.92,20.52
321,9.58,0.0003,0.0000,0.0039,1148.92,24.56
322,9.57,0.0003,0.0000,0.0039,1148.92,27.20
323,9.57,0.0003,0.0000,0.0039,1148.92,28.38
324,9.57,0.0003,0.0000,0.0040,1148.92,29.53
325,9.57,0.0003,0.0000,0.0039,1148.92,23.06
326,9.55,0.0004,0.0000,0.0043,1148.92,20.94
327,9.53,0.0004,0.0000,0.0027,1148.92,21.85
328,9.66,0.0006,0.0000,0.0041,1148.92,23.09
329,9.57,0.0003,0.0000,0.0044,1148.92,31.59
330,9.45,0.0006,0.0000,0.0055,1148.92,33.34
331,9.46,0.0003,0.0000,0.0040,1148.92,38.21
332,9.58,0.0003,0.0000,0.0039,1148.92,23.24
333,9.56,0.0003,0.0000,0.0044,1148.92,21.12
334,9.53,0.0003,0.0000,0.0040,1148.92,20.63
335,9.54,0.0003,0.0000,0.0044,1148.92,25.49
336,9.53,0.0003,0.0000,0.0043,1148.92,30.36
337,9.51,0.0003,0.0000,0.0044,1148.92,32.87
338,9.52,0.0003,0.0000,0.0045,1148.92,32.84
339,9.52,0.0003,0.0000,0.0044,1148.92,24.78
